unit_id,t0,t1,t2,t3,t4,y0,y1,y2,y3,y4,r,y2hat,y3hat,y4hat,RSTN,RCVY,ADPT
U001,10,22,49,58,74,15543.239,15934.923,8701.766,13282.655,14680.366399999999,32.64033333333342,16816.212000000003,8995.529,13804.900333333335,-0.9020325743254995,0.9358720545291535,0.6263568192022081
U002,6,18,34,64,74,12856.248,12666.005,9957.897,13161.86,13213.4713,-15.853583333333367,12412.347666666665,9482.289499999999,13003.324166666667,-0.9063341146906495,0.8855385978651212,0.5699941476366898
U003,13,25,41,60,74,17992.311,18702.5,14610.259,17674.822,16718.1816,59.18241666666654,19649.418666666665,15734.724916666664,18503.37583333333,-0.8418131848703396,0.6330746286936623,-0.6830016466009313
U004,6,18,38,58,74,10964.509,12912.27,9538.866,11647.83,10626.4451,162.3134166666667,16158.538333333334,12785.134333333335,14244.844666666668,-0.6709621066036549,-0.25944689864081966,-0.5821654729400255
U005,6,18,33,63,74,17054.769,16982.108,9156.424,16641.351,16328.130099999998,-6.0550833333333385,16891.281750000002,8974.7715,16574.74508333333,-0.988393826022109,0.9768543412070387,-0.7873516209593061
U006,8,20,37,59,74,17156.604,18335.451,11045.67,16911.262,17828.4076,98.23725000000013,20005.48425,13206.889500000003,18384.82075,-0.8428920781789202,0.6315428178434498,-0.27409894196072376
U007,11,23,44,63,74,23659.559,23548.817,15492.238,24130.092,23421.57,-9.228500000000167,23355.018499999995,15316.896499999995,24028.5785,-0.9759453112791416,0.9804927653966375,-0.8567249852509862
U008,6,18,50,55,74,16430.192,16099.759,11718.937,14683.018,15572.7019,-27.536083333333256,15218.604333333336,11581.256583333334,14159.832416666668,-0.7988608834902072,0.9574987223879259,0.7297671991147914
U009,10,22,40,60,74,11882.094,12529.427,7987.23,11260.794,10074.9892,53.94441666666671,13500.426500000001,9066.118333333334,12016.015833333335,-0.8502513650111747,0.6704239375392281,-0.7198990216702825
U010,8,20,50,63,74,14318.215,15921.263,11223.69,15010.158,14698.3309,133.5873333333334,19928.883,12960.325333333334,16479.618666666665,-0.6847574175754807,0.5413574515000961,-0.5479623548845719
U011,6,18,47,64,74,12967.421,11796.113,7135.56,9346.444,8744.5946,-97.60900000000008,8965.451999999997,5476.2069999999985,8370.354,-0.3926340929928267,0.6999139176683984,0.277147388943123
U012,12,24,43,62,74,15788.757,14629.867,9286.927,13959.497,12957.502499999999,-96.57416666666661,12794.957833333334,7452.017833333334,12800.607,-0.6565731289015662,0.7800498977810711,0.11924094010763832
U013,8,20,47,63,74,20079.382,19628.144,10755.932,16088.272,15430.5117,-37.603166666666766,18612.8585,10154.281333333332,15674.637166666667,-0.8855656853104951,0.9079431327422902,-0.3711465509041327
U014,9,21,38,59,74,14225.236,15148.517,10006.111,15625.895,14722.4799,76.94008333333325,16456.498416666665,11621.852749999998,16779.99625,-0.8314102558456608,0.712490417781182,-0.6406479868587095
U015,13,25,51,61,74,17893.054,18036.43,11147.243,12577.71,13816.435199999998,11.948000000000016,18347.078,11266.723,12733.034,-0.9586380796015381,0.9164748295486721,0.8746098004626041
U016,8,20,37,64,74,16986.002,18692.327,13189.55,19317.865,19682.5865,142.19375000000005,21109.620750000002,17028.78125,20739.8025,-0.7661595709428646,0.37352579787429346,-0.4264423320298643
U017,9,21,40,55,74,8883.177,10080.575,6150.558,8494.988,7267.31,99.78316666666676,11976.455166666668,7647.305500000001,10390.868166666667,-0.7544761931320475,0.3615729622978712,-0.6222923680371939
U018,8,20,47,55,74,18332.194,18508.359,11643.378,14748.644,12495.216499999999,14.680416666666739,18904.73025,11760.821333333335,15027.571916666668,-0.9482390229942358,0.9621793001522786,-0.9007827089644704
U019,12,24,40,64,74,20591.766,21479.106,15203.094,19683.527,20844.7927,73.94500000000001,22662.226,16977.773999999998,20422.977,-0.8631004974166456,0.6039043547799958,0.36323788776332716
U020,11,23,43,60,74,11074.533,10930.07,8414.402,10760.299,9229.224699999999,-12.038583333333312,10689.298333333334,8209.746083333333,10591.758833333335,-0.9042911597767807,0.9257203613059458,-0.8899203215241315
U021,11,23,43,60,74,24416.583,24125.715,17308.765,21488.975,19211.5269,-24.23899999999988,23640.935,16896.702,21149.629,-0.9288860854194326,0.9176588062831915,-0.8509972631209475
U022,14,26,33,61,74,20447.022,19129.391,11541.282,18448.812,17971.8338,-109.80258333333343,18360.772916666665,8466.809666666664,17021.378416666666,-0.8987075589803291,0.7645250795620584,0.39970553573226114
U023,6,18,36,64,74,20993.928,21966.342,14612.792,21101.057,21329.8932,81.03450000000005,23424.963000000003,16881.758,21911.402000000002,-0.8579835907493792,0.6502969592024984,-0.41779445513602176
U024,9,21,30,60,74,14388.604,13711.55,10795.054,14067.05,14147.8809,-56.42116666666667,13203.7595,9102.419,13277.153666666665,-0.8258902120901248,0.7457462267543462,0.5243375144200353
U025,14,26,47,64,74,9763.772,11021.73,7943.612,11068.645,10510.932499999999,104.82983333333323,13223.156499999997,9725.719166666666,12116.943333333333,-0.7057298444279494,0.42973172869961196,-0.6050579388045417
U026,9,21,50,57,74,14568.017,14747.296,8125.077,12996.297,13298.5049,14.939916666666704,15180.553583333334,8229.656416666667,13250.275583333334,-0.9421454182120899,0.9785311653617232,0.15958986071067632
U027,13,25,45,61,74,12283.088,12625.979,9321.214,13433.512,13074.714,28.574249999999967,13197.463999999998,9778.402,13804.97725,-0.871511005039644,0.88882420486064,-0.6628341283719178
U028,13,25,51,60,74,13728.802,14109.483,10946.602,13894.033,13600.9995,31.723416666666708,14934.291833333335,11232.11275,14338.160833333333,-0.8286111040307819,0.9031323379580388,-0.6240312314159598
U029,8,20,45,64,74,9502.833,10128.877,5772.587,10089.557,8785.1718,52.170333333333325,11433.135333333334,6763.823333333334,10611.260333333334,-0.8127358883376519,0.7703860964210237,-0.7777897859089044
U030,8,20,48,64,74,23125.675,23234.576,19162.346,21752.956,22768.3108,9.075083333333472,23488.678333333337,19307.547333333336,21843.706833333334,-0.9445244061262303,0.9439509098886616,0.9106215548167643
U031,13,25,43,63,74,32299.71,31572.666,28020.779,31717.118,29456.51429999999,-60.58699999999984,30482.100000000006,26809.039,31050.661,-0.6929615159491295,0.8019974120149634,-0.7051862739143546
U032,7,19,45,64,74,14194.529,14734.227,7458.92,12887.105,13903.242599999998,44.97483333333336,15903.572666666669,8313.441833333334,13336.853333333333,-0.8783705149383736,0.8425768772926246,0.5573942610397118
U033,6,18,35,64,74,17173.549,17835.049,11897.448,17577.951,16901.9179,55.125,18772.174,13496.073,18129.201,-0.8800380345196036,0.7185768584225728,-0.6900535615558688
U034,11,23,41,59,74,19481.028,18654.557,12659.18,17825.885,17916.5028,-68.87258333333314,17414.850500000004,11419.473500000004,16792.79625,-0.7932229282662298,0.8378645869708004,0.5210075105412183
U035,6,18,34,54,74,16113.948,15617.289,9334.779,12579.804,11074.241199999999,-41.38824999999997,14955.077000000001,8507.014000000001,11752.039,-0.8945943579874923,0.8310874992730416,-0.4501956344829996
U036,6,18,47,64,74,14013.143,14311.391,9758.693,14464.105,14083.629700000001,24.853999999999967,15032.157,10181.211,14712.644999999999,-0.8797566993592172,0.910205950084711,-0.7167813811847525
U037,12,24,33,60,74,43645.055,42428.943,37032.393,42456.88,42271.7873,-101.34266666666674,41516.859,34296.140999999996,41038.08266666666,-0.8309875753953911,0.7488983885551526,0.4651097902421927
U038,6,18,47,64,74,14967.378,16037.145,7502.152,16020.824,15188.0397,89.14724999999999,18622.41525,9017.65525,16912.2965,-0.8113703308229484,0.82209630209967,-0.6591877836900021
U039,8,20,39,58,74,16366.876,17674.865,8721.788,16093.521,16335.878099999998,108.99908333333345,19745.847583333336,10792.770583333335,17837.506333333335,-0.8418498728774616,0.7190643525296787,-0.46266390082770936
U040,8,20,50,59,74,25644.632,25831.077,23194.147,24377.296,24158.683899999996,15.537083333333308,26297.1895,23333.980750000002,24610.352249999996,-0.8694053634543752,0.881812223143491,-0.659635056196318
U041,9,21,38,57,74,20141.148,20345.039,16597.468,20437.862,22288.948299999996,16.990916666666635,20633.884583333333,16920.295416666668,20726.707583333333,-0.93321894206567,0.9159389852534227,0.8439588779122116
U042,6,18,37,63,74,20588.907,20628.507,15523.077,19963.454,20754.6577,3.300000000000182,20691.207000000006,15608.877000000004,19999.754000000004,-0.9880133745505008,0.9806773163630015,0.9541205381117366
U043,6,18,43,63,74,14441.812,14376.895,9527.066,12098.422,11662.9668,-5.409749999999955,14241.65125,9418.871000000001,12038.914750000002,-0.9721137075142238,0.9611890753318273,-0.8633447252438398
U044,13,25,41,59,74,13132.679,14418.659,7024.404,14320.51,13300.0774,107.16499999999996,16133.298999999999,8953.374,15927.985,-0.8415822557048137,0.7356165055716023,-0.6204652207807625
U045,6,18,45,64,74,21495.389,21042.502,17754.492,19927.719,18339.8096,-37.740583333333234,20023.506250000002,17037.420916666666,19550.313166666667,-0.6900873932865175,0.8012204877839185,-0.7623253358577422
U046,11,23,51,58,74,42372.505,41505.169,30242.178,38797.932,39420.7103,-72.27799999999964,39481.38500000001,29736.232000000004,37641.484000000004,-0.820315580470588,0.9471190719221848,0.6060707415669374
U047,14,26,31,62,74,14988.632,14416.455,12607.274,14124.22,12645.884699999999,-47.68141666666664,14178.047916666666,11129.150083333334,13552.043,-0.8682237524419428,0.6695596095899117,-0.6129585757710044
U048,12,24,40,61,74,13398.606,13800.369,8180.059,12442.065,12344.4002,33.48025000000007,14336.053000000002,8883.144250000001,12877.308250000002,-0.9199477320935047,0.8350341951653749,-0.5504388105454179
U049,6,18,44,63,74,13493.142,12972.075,7681.9,12210.67,12422.545199999999,-43.42224999999993,11843.096500000003,6856.877250000001,11733.02525,-0.7865895740689113,0.8664755809588426,0.5907649108990355
U050,13,25,44,62,74,8870.27,9281.487,6146.892,9405.668,8724.756000000001,34.26808333333323,9932.58058333333,6763.717499999998,9816.884999999998,-0.853250946547485,0.8107186563298618,-0.7264654976299535
U051,12,24,38,60,74,20452.62,21104.893,13963.036,20941.391,19941.945499999998,54.35608333333342,21865.87816666667,15158.869833333336,21702.37616666667,-0.9121652432131416,0.8286367154818957,-0.6981913270288946
U052,13,25,35,64,74,17273.657,18113.867,12065.721,16728.718,16510.7297,70.01749999999993,18814.041999999998,14096.228499999997,17428.893,-0.9059978014353502,0.5645488298619971,-0.5673494225527509
U053,6,18,35,63,74,17891.637,18357.278,12397.819,18709.609,17619.8537,38.803416666666635,19016.93608333333,13484.314666666665,19136.446583333334,-0.9093723781503442,0.8278625133810431,-0.7803689966508363
U054,12,24,43,61,74,15962.371,16579.358,10545.437,15694.636,15243.1307,51.415583333333416,17556.254083333333,11470.917500000001,16363.038583333335,-0.8777001548565871,0.8202670939693725,-0.6262379515234808
U055,8,20,38,57,74,18548.106,19039.66,15732.742,17761.977,17243.345999999998,40.96283333333334,19776.991,16511.035833333335,18458.345166666666,-0.8457976233797194,0.6164594867852489,-0.635670153757293
U056,6,18,46,64,74,15741.503,15796.3,12815.94,14800.308,14831.256399999998,4.566416666666555,15924.159666666663,12898.135499999999,14845.972166666666,-0.9604893287535811,0.9585784995525034,-0.24371949179586141
